MGI_ID	strainName	strainType
MGI:6121776	129(Cg)-Tecta<tm5.1Gpr>/GprH	Not Applicable
MGI:4458873	129.Cg-Tfr2<tm1.1Anro>	congenic
MGI:6146205	129.Cg-Tg(Crx-cre)1Tfur/TfurRbrc	congenic
MGI:6146206	129.Cg-Tg(Dkk3-cre)D9Tfur/TfurRbrc	congenic
MGI:3813646	129.Cg-Tg(H2-K-Fosl2,EGFP)13Wag	congenic
MGI:5320340	129.Cg-Tgm2<tm1Gml> Apoe<tm1Bres>/CljH[cc]	congenic
MGI:5897836	129.Cg-Trp53<tm1Brn> Pten<tm2.1Ppp> Tg(TPO-cre)1Shk	congenic
MGI:5708683	129-Col15a1<tm1Pih>/Oulu	coisogenic
MGI:2162268	129-Col4a3<tm1Dec>/J	coisogenic
MGI:5661873	129-Comt<tm1(COMT)Xzho>/J	coisogenic
MGI:5661876	129-Comt<tm2(COMT)Xzho>/J	coisogenic
MGI:5052153	129-Crmp1<tm1Pako> Dpysl4<tm1Ttq>/J	congenic
MGI:2164489	129-Cstb<tm1Rm>/J	coisogenic
MGI:3716300	129-Ctsg<tm1.1Roes>/H	Not Applicable
MGI:2174348	129-Cyp1a2<tm1Gonz>/J	coisogenic
MGI:5559338	129-Cyp2c23<Gt(OST85045)Lex>	coisogenic
MGI:3695397	129-Dag1<tm2Kcam>/J	coisogenic
MGI:3840278	129-Daxx<tm2Led>/J	coisogenic
MGI:5561114	129-Del(16Tiam1-Il10rb)9Yey/J	coisogenic
MGI:5428040	129-Del(16Tiam1-Kcnj6)7Yey/Dp(16Tiam1-Kcnj6)6Yeys/J	coisogenic
MGI:5451077	129-Del(9Casp1-Casp4)1Bhk	coisogenic
MGI:5561123	129-Dp(16Ifnar1-Kcnj6)10Yey/J	coisogenic
MGI:5561113	129-Dp(16Tiam1-Il10rb)8Yey/J	coisogenic
MGI:5428041	129-Dp(16Tiam1-Kcnj6)6Yey/J	coisogenic
MGI:2669493	129/Dr	inbred strain
MGI:6146152	129.DW-Tpst2<grt>/HkvRbrc	congenic
MGI:3695388	129-Dysf<tm1Kcam>/J	coisogenic
MGI:3806968	129-E2f3<tm1.1Gle>	coisogenic
MGI:2164581	129-Edn3<tm1Ywa>/J	coisogenic
MGI:3840446	129-Eif2s2<Gt(XH413)Byg> Chr 19<MOLF/Ei>	congenic
MGI:3716317	129-Elane<tm1(cre)Roes> Ctsg<tm1.1Roes>/H	congenic
MGI:3716319	129-Elane<tm1(cre)Roes>/H	congenic
MGI:2165003	129-Exoc4<Gt(SABetageo4)Sor>/J	coisogenic
MGI:5490139	129-Foxa2<tm1Jrt>/H	coisogenic
MGI:5693122	129(FVB)-Hdac6<tm1.1Tyao>/J	Not Applicable
MGI:2164664	129-Fyn<tm1Sor>/J	coisogenic
MGI:3614426	129-Gabra2<tm1.1Uru>	coisogenic
MGI:3614425	129-Gabra3<tm1.1Uru>	coisogenic
MGI:4941228	129-Gal<tm1Wyn>	coisogenic
MGI:2165530	129-Gt(ROSA)26Sor/J	congenic
MGI:3665261	129-Gt(ROSA)26Sor<tm1(CAG-EGFP)Luo>/J	Not Specified
