MGI_ID	strainName	strainType
MGI:3719466	B6.129-Crkl<tm1Hkp>/J	congenic
MGI:4442494	B6;129-Crlf2<tm1Wjl>/Mmnc	Not Applicable
MGI:5545738	B6.129(C)-Rps6ka2<tm1.1Mskf>	congenic
MGI:3707599	B6.129-Crx<tm1Clc>/J	congenic
MGI:5510805	B6.129-Crygs<tm1Gwis>	congenic
MGI:6145796	B6.129-Crym<tm1Sasu>/SasuRbrc	congenic
MGI:5287243	B6.129(C)-Smn1<tm1.1Jme>/J	congenic
MGI:4950927	B6.129-Csnk1e<tm1Asil>/J	congenic
MGI:5007739	B6.129-Csrp1<tm1Mbk>	congenic
MGI:3851130	B6.129-Cst9<tm1Aw>/Kctt	congenic
MGI:4840285	B6.129-Cth<tm1Iish>	congenic
MGI:3721381	B6.129-Ctla4<tm1Yliu>	congenic
MGI:2174102	B6.129-Ctnnb1<tm2Kem>/KnwJ	congenic
MGI:5910341	B6;129-Ctsb<tm1Jde>/J	Not Applicable
MGI:3767221	B6.129-Ctsk<tm1Mbs>	congenic
MGI:6122811	B6;129-Ctsk<tm1Psa>/Ph	Not Applicable
MGI:5320486	B6.129-Cul9<tm2Jdec>/J	congenic
MGI:5906133	B6.129-Cuzd1<tm1Bag>/Mmnc	congenic
MGI:4938642	B6.129-Cxcl10<tm1Adl> Apoe<tm1Unc>	congenic
MGI:3715201	B6.129-Cyld<tm1Ref>	congenic
MGI:3840645	B6.129-Cyp1a2/Cyp1a1<tm1.1Bra>	congenic
MGI:4443023	B6.129-Cyp1b1<tm1Gonz>/Mmnc	congenic
MGI:4410305	B6.129-Cyp27a1<tm1Elt>/J	congenic
MGI:6146743	B6.129-(D1Mit501-Fcgr2b) Fcgr2b<tm1Ttk>/HrosRbrc	congenic
MGI:5806595	B6.129(D2)-Cdkn2c<tm1Yxi>/LmoJ	congenic
MGI:4458872	B6.129-Dact1<tm1Yegc>	congenic
MGI:3695398	B6.129-Dag1<tm1Kcam>/J	congenic
MGI:3695396	B6.129-Dag1<tm2Kcam>/J	congenic
MGI:3849689	B6129-Dclre1c<tm1.1Jpdv>/Orl	Not Specified
MGI:5496907	B6;129-Dct<tm1(cre)Bee>/Orl	Not Applicable
MGI:4398885	B6.129-Ddit3<tm1Dron>	congenic
MGI:5576284	B6.129-Deaf1<tm1.2Mico>	congenic
MGI:5587929	B6;129-Del(10Grin3b-Tmem259)1Zang/J	Not Applicable
MGI:4834622	B6.129-Del(11Hoxb3-Hoxb4)1Karl/Kctt	congenic
MGI:5561125	B6;129-Del(16Ifnar1-Kcnj6)11Yey/Dp(16Ifnar1-Kcnj6)10Yey/J	Not Applicable
MGI:4947408	B6.129-Del(2Cd59b-Cd59a)1Jha	congenic
MGI:5662388	B6.129-Del(5Gtf2i-Fkbp6)1Vcam(J:204278)	congenic
MGI:3721792	B6.129-Del(9Cyp1a2-Cyp1a1)1Dwn	congenic
MGI:3623800	B6.129-Dgat2<tm1Far>/J	congenic
MGI:5432257	B6.129-Dio1<tm1Vag>/J	congenic
MGI:5432261	B6.129-Dio2<tm1Vag>/J	congenic
MGI:5825164	B6.129-Dixdc1<tm1Bnrc>/J	congenic
MGI:5774686	B6;129-Dlg2<tm1Dsb>/RanJ	Not Applicable
MGI:5588002	B6;129-Dlg4<tm1.1Hnz>/J	Not Applicable
MGI:4462038	B6.129-Dlg4<tm1Rlh>/J	congenic
MGI:5516324	B6.129-Dlg5<tm1Vv>/J	congenic
MGI:5603594	B6.129-Dlgap3<tm1Gfng>/J	congenic
MGI:2164476	B6.129-Dll1<tm1Gos>/J	congenic
MGI:6145574	B6.129-Dmd<tm1Mok>/NahRbrc	congenic
MGI:4440624	B6.129-Dnajc6<tm1Legr>	congenic
MGI:5506926	B6.129-Dnajc6<tm1Legr>/Mmjax	congenic
MGI:6148688	B6.129-Dnase2a<tm1Osa> Ifnar1<tm1Agt>/OsaRbrc	congenic
MGI:6145659	B6.129-Dnase2a<tm2Osa>/OsaRbrc	congenic
MGI:6148689	B6.129-Dock2<tm1Tsas>/Rbrc	congenic
MGI:3699243	B6.129-Dpagt1<tm2Jxm>/J	congenic
MGI:3762934	B6.129-Dpt<tm1Hsh>/NakaRbrc	congenic
MGI:6122322	B6;129-Dsel<tm1Mmac>/Kctt	Not Specified
MGI:6122114	B6.129-Dse<tm1Mmac>/Kctt	congenic
MGI:5662524	B6.129-Dsp<tm1Efu>/J	congenic
MGI:4356505	B6.129-Dtx1<tm1.2Mzl>	congenic
MGI:3712928	B6(129)-Duox2<thyd>/J	congenic
MGI:5508356	B6;129-Dusp4<tm1Jmol>/J	Not Applicable
MGI:3844538	B6;129-Dusp6<tm1Jmol>/J	Not Applicable
MGI:5573046	B6.129-Dusp6<tm1Jmol>/J	congenic
MGI:5788161	B6;129-Dvl2<tm1.1Wds>/J	Not Applicable
MGI:5752901	B6;129-Dyrk1a<Gt(XQ0369)Wtsi>/YeyMmjax	Not Applicable
MGI:5296242	B6.129-Dysf<tm1Kcam> C3<tm1Crr>	congenic
MGI:4462146	B6.129-Dysf<tm1Kcam>/J	congenic
MGI:3828502	B6.129-Dysf<tm1Kcam>/Mmmh	congenic
MGI:6146753	B6.129-Ece2<tm1Ywa>/YwaRbrc	congenic
MGI:4462412	B6.129-Ecel1<tm1Hiki>	congenic
MGI:3723259	B6.129-Egfl7<tm1Wye>	congenic
MGI:4821582	B6.129-Egr1<tm1Jmi>	congenic
MGI:4940871	B6.129-Eif2ak2<tm1Cwe>	congenic
MGI:6147100	B6.129-Eif3b<Gt(GT529)Skmz>	congenic
MGI:5316378	B6.129-Elavl1<tm1.1Bndr>	congenic
MGI:5485019	B6.129-Elavl1<tm1Thla>/J	congenic
MGI:3620017	B6.129-Eln<tm1Dyl>	congenic
MGI:4948547	B6.129-Emx1<tm1(cre)Yql> Ctnnb1<tm2Kem>	congenic
MGI:2652332	B6.129-Emx2<tm1Pgr>/Cnrm	congenic
MGI:3719042	B6.129-En1<tm1Alj>	congenic
MGI:3826839	B6.129-Entpd1<tm1Djp>	congenic
MGI:5545902	B6.129-Entpd2<tm1Srob>	congenic
MGI:4430287	B6.129-Eomes<tm1Srnr>/Mmmh	congenic
MGI:5696361	B6.129-Epha4<tm1Pch> Epha7<tm1Ud>	congenic
MGI:5696354	B6.129-Epha7<tm1Ud>	congenic
MGI:6099105	B6;129-Epn2<tm1Ocr>/J	Not Applicable
MGI:5485389	B6.129-Eps15<tm1Noff>	congenic
MGI:3706364	B6.129-Erap1<tm1Nsha> Tap1<tm1Arp>	congenic
MGI:3722922	B6.129-Esam1<tm1Dvst>	congenic
MGI:5636381	B6;129-Esyt1<tm1Sud> Esyt2<tm1Sud>/J	Not Applicable
MGI:5795740	B6;129-Exd1<tm1Embrp>/Cnrm	Not Applicable
MGI:3835490	B6;129-Ext1<tm1Vcs>/J	Not Applicable
MGI:4821473	B6.129-Eya1<tm1Rilm>/Mmucd	congenic
MGI:4819796	B6.129-F2r<tm1.1Cgh>/Mmucd	congenic
MGI:4829927	B6.129-F3<tm1.1Dwr>	congenic
MGI:4829929	B6.129-F3<tm1.1Dwr> F2rl1<tm1Bpd>	congenic
MGI:4829928	B6.129-F3<tm1.1Dwr> F2r<tm1Pago>	congenic
MGI:3621980	B6.129-Fabp3<tm1Jshr>	congenic
MGI:5496003	B6.129-Fabp6<tm1Lbal>	congenic
MGI:5447389	B6.129-Fasl<tm1.1Lest>	congenic
MGI:3763049	B6.129-Fas<tm1Osa>/OsaRbrc	congenic
MGI:4820717	B6.129-Fbn1<tm1Hcd>/J	congenic
MGI:3664089	B6.129-Fbn1<tm2Rmz>/J	congenic
MGI:3712873	B6.129-Fbxo2<tm1Hlp>	congenic
MGI:3851456	B6.129-Fcer1a<tm1Knt> Tg(FCER1A)1Bhk	congenic
MGI:3717423	B6.129-Fcgr2b<tm1Ttk>	congenic
MGI:5451083	B6.129-Fcmr<tm1Ohno>	congenic
MGI:5468811	B6.129-Fcna<tm1Tefu>	congenic
MGI:5468813	B6.129-Fcna<tm1Tefu> Fcnb<tm1Yend>	congenic
MGI:6145961	B6.129-Fcna<tm1Tefu>/TefuRbrc	congenic
MGI:6145962	B6.129-Fcnb<tm1Tefu>/TefuRbrc	congenic
MGI:5468812	B6.129-Fcnb<tm1Yend>	congenic
MGI:4838148	B6.129-Fcrlb<tm1Pdb>	congenic
MGI:5770563	B6.129-Ffar2<tm1Soff>	congenic
MGI:5770565	B6.129-Ffar3<tm1Soff>	congenic
MGI:5516579	B6;129-Fgf10<tm1.2Sms>/J	Not Applicable
MGI:5305935	B6.129-Fgf23<tm1.1Kew>	congenic
MGI:5516580	B6;129-Fgf3<tm1.2Sms>/J	Not Applicable
MGI:4818580	B6.129-Fgf7<tm1Efu>	congenic
MGI:5451086	B6.129-Fgfr2<tm3Ewj>	congenic
MGI:3849308	B6.129-Fgfrl1<tm1.1Ptew>	congenic
MGI:4367258	B6.129-Fgg<tm1Fjc> Apobec1<tm1Ddsn> Ldlr<tm1Her>	congenic
MGI:2165425	B6.129-Fign<tm1Frk>/Frk	congenic
MGI:5435588	B6.129-Fktn<tm1Kcam>/J	congenic
MGI:5560996	B6;129-Fli1<tm1Morl>/Orl	Not Applicable
MGI:6119417	B6;129-Flrt2<tm1c(EUCOMM)Wtsi>/RobH	Not Applicable
MGI:4440750	B6.129-Flt3<tm1Dgg>/J	congenic
MGI:6122932	B6.129-Flt4<tm1Ali>/Oulu	congenic
MGI:4415804	B6.129-Fmr1<tm1Rbd>	congenic
MGI:4441065	B6.129-Fmr1<tm1Rbd>/J	congenic
MGI:2655286	B6.129-Fn1<tm1Feb>/Cnrm	congenic
MGI:5805781	B6;129-Fn1<tm1Ref>/J	Not Applicable
MGI:2655288	B6.129-Fn1<tm2Feb>/Cnrm	congenic
MGI:5660362	B6;129-Fos<tm1.1Fawa>/J	Not Applicable
MGI:5576337	B6;129-Fos<tm1Mxu>/Mmjax	Not Applicable
MGI:4418130	B6.129-Foxa2<tm1.1Stf>	congenic
MGI:3813643	B6.129-Foxb1<tm1Pgr>	congenic
MGI:3040105	B6;129-Foxb1<tm1Pgr>/PgrKieg	Not Applicable
MGI:2385791	B6.129-Foxd1<tm1Lai>/J	congenic
MGI:4882108	B6.129-Foxe1<tm1Rdl>	congenic
MGI:2652277	B6.129-Foxe1<tm1Rdl>/Cnrm	congenic
MGI:4882106	B6.129-Foxe1<tm1Rdl> Nkx2-1<tm1Rdl>	congenic
MGI:5496220	B6.129-Foxe1<tm1Rdl> Nkx2-1<tm1Shk>	congenic
MGI:5485015	B6.129-Foxo6<tm1Abru>/J	congenic
MGI:3712867	B6.129-Foxp1<tm1Rao>	congenic
MGI:4437057	B6.129-Foxp3<tm8Ayr>	congenic
MGI:3608501	B6.129-Foxs1<tm1Sven>	congenic
MGI:5496628	B6;129-Fshr<tm1Mha>/H	Not Applicable
MGI:5320286	B6.129-Fst<tm1Zuk> Fstl3<tm1.1Sjl>	congenic
MGI:5425631	B6.129-Fth1<tm1.1Lck>/J	congenic
MGI:5888986	B6.129-Fto<tm1.1Pzg>/YxtJ	congenic
MGI:3771222	B6.129-Fut1<tm1Sdo>/J	congenic
MGI:5810364	B6.129(FVB)-Actg1<tm1.2Erv>/J	congenic
MGI:3850677	B6.129(FVB)-Alcam<tm1Jawe>/J	congenic
MGI:5506647	B6.129(FVB)-Cd68<tm1.1Shnd>/J	congenic
MGI:5476225	B6.129(FVB)-Cdkl5<tm1.1Joez>	congenic
MGI:5605472	B6.129(FVB)-Cdkl5<tm1.1Joez>/J	congenic
MGI:3711211	B6.129(FVB)-Col1a2<tm1.1Mcbr>/J	congenic
MGI:5465533	B6.129(FVB)-Cyp11a1<tm1.1Bcc>	congenic
MGI:5604712	B6.129(FVB)-Deaf1<tm1.1Mico>/Mmnc	congenic
MGI:2174100	B6.129(FVB)-Gabra1<tm1Geh>/J	congenic
MGI:4943967	B6.129(FVB)-Grina<tm1.1Ldh>	congenic
MGI:4943774	B6.129(FVB)-Grina<tm1.1Ldh> /Mmnc	congenic
MGI:5896356	B6.129(FVB)-Gt(ROSA)26Sor<tm1(CAG-birA,-EGFP)Joez>/J	congenic
MGI:5780886	B6.129(FVB)-H2afy2<tm1.1Peh> H2afy<tm1Peh>	congenic
MGI:5007522	B6.129(FVB)-Igf1<tm1Dlr>/J	congenic
MGI:5925243	B6.129(FVB)-Mbd1<tm1.1Joez>/J	congenic
MGI:5925237	B6.129(FVB)-Mbd2<tm1.1Joez>/J	congenic
MGI:5790798	B6.129(FVB)-Mecp2<tm3.1Joez>/J	congenic
MGI:5896341	B6.129(FVB)-Mecp2<tm5.1Joez>/J	congenic
MGI:5810080	B6.129(FVB)-Mtdh<tm1.2Dsar>	congenic
MGI:5807430	B6.129(FVB)-Mtdh<tm1.2Dsar>/J	congenic
MGI:5614115	B6.129(FVB)-Pitx3<tm1.1Cai>/J	congenic
MGI:3694770	B6.129(FVB)-Prkaa2<tm1.1Vio>/Orl	congenic
MGI:3762611	B6.129(FVB)-Ptgs2<tm2.1(Ptgs1)Fun>/J	congenic
MGI:5543939	B6.129(FVB)-Siglecf<tm1.2Avrk>	congenic
MGI:5776508	B6.129(FVB)-Sorbs2<tm1.2Gfng>	congenic
MGI:5462440	B6.129(FVB)-Thbd<tm1.1(THBD)Sltz> Apoe<tm1Unc>	congenic
MGI:4881505	B6.129-Fxn<tm1.1Pand>/J	congenic
MGI:3801180	B6.129-Fxn<tm1Pand>/J	congenic
MGI:3713224	B6.129-Fyb<tm1Gak>	congenic
MGI:5432132	B6;129-Fyb<tm1Gak>/J	Not Applicable
MGI:5002530	B6.129-Gabra2<tm1.1Geh>/J	congenic
MGI:3706349	B6.129-Gabra4<tm1.2Geh>/J	congenic
MGI:5526110	B6;129-Gabrd<tm1.1Jmag>/J	Not Applicable
MGI:2174103	B6.129-Gabrd<tm1Geh>/J	congenic
MGI:6144452	B6;129-Gadd45a<tm1Ajf>/Nci	Not Applicable
MGI:3700153	B6.129-Galnt13<tm1Jxm>	congenic
MGI:3700151	B6.129-Galnt13<tm1Jxm>/J	congenic
MGI:3701513	B6.129-Galnt1<tm1Jxm>	congenic
MGI:3701510	B6.129-Galnt1<tm1Jxm>/J	congenic
MGI:5707620	B6.129-Gas7<tm1Slch>	congenic
MGI:3699163	B6.129-Gast<tm1(INS)Ez>/J	congenic
MGI:6149961	B6.129-Gast<tm1Lcs>/J	congenic
MGI:5468931	B6;129-Gata4<tm1Grg>/Mmmh	Not Applicable
MGI:5466154	B6.129-Gatm<tm1.1Isb>	congenic
MGI:5467617	B6.129-Gba<tm1Clk>/J	congenic
MGI:4834623	B6.129-Gba<tm1Karl>/Kctt	congenic
MGI:4834626	B6.129-Gba<tm2Karl>/Kctt	congenic
MGI:3664018	B6.129-Gbx2<tm1.1Mrt>	congenic
MGI:3664258	B6.129-Gbx2<tm1.1Mrt> Fgf8<tm1.4Mrt>	congenic
MGI:5519132	B6.129-Gclm<tm1Tdal>	congenic
MGI:3757664	B6.129-Gclm<tm1Tjka>	congenic
MGI:3699133	B6.129-Gcnt1<tm1Jxm>/J	congenic
MGI:5444300	B6.129-Gdf2<tm1Sjl>	congenic
MGI:5567940	B6;129-Gdf6<tm1Kng>/J	Not Applicable
MGI:5567941	B6;129-Gdf7<tm1Kng>/J	Not Applicable
MGI:5288467	B6.129-Gdnf<tm1Lmgd>	congenic
MGI:3821892	B6.129-Gfi1b<tm1Tmo>	congenic
MGI:5140576	B6.129-Gfi1b<tm1Tmo>/J	congenic
MGI:3697083	B6.129-Gfi1<tm1.1Wep>	congenic
MGI:3697082	B6.129-Gfi1<tm1Wep>	congenic
MGI:5140577	B6.129-Gfi1<tm2Tmo>/J	congenic
MGI:5140580	B6.129-Gfi1<tm3(Gfib1)Tmo>/J	congenic
MGI:3757675	B6.129-Gfra1<tm1Rosl>	congenic
MGI:3709340	B6.129-Ggcx<tm1Dgi>/J	congenic
MGI:5504459	B6.129-Ggn<tm1Dpj>	congenic
MGI:6153498	B6.129-Ghsr<tm1Smoc>	congenic
MGI:3829064	B6.129-Gimap5<tm1Wlr>	congenic
MGI:2163681	B6.129-Gja1<tm1Kdr>/J	congenic
MGI:5560680	B6.129-Glce<tm1Jpli>/Kctt	congenic
MGI:4430621	B6.129-Glg1<Gt(KST005)Byg> Fgf18<tm1Sjt>	congenic
MGI:5510708	B6.129-Glp1r<tm1Ddr>	congenic
MGI:5447332	B6.129-Glp2r<tm1.2Xfg>	congenic
MGI:5314517	B6.129-Gnmt<tm1Cwa>/J	congenic
MGI:5490788	B6.129-Gp2<tm1Awl>/Mmucd	congenic
MGI:6145960	B6.129-Gp2<tm1Soka>/SokaRbrc	congenic
MGI:5775162	B6.129-Gpa33<tm1Jkhh>	congenic
MGI:3837861	B6.129-Gper1<tm1.1Lmlf>	congenic
MGI:4357653	B6.129-Gper1<tm1Dgen>	congenic
MGI:3849684	B6.129-Gphn<tm1Jrs>/Cnrm	congenic
MGI:5644496	B6.129-Gpr174<tm1Cys>	congenic
MGI:4819613	B6.129-Gpr17<tm1Dgen>	congenic
MGI:3837668	B6.129-Gpr68<tm1Aha>	congenic
MGI:2652542	B6.129-Gpx1<tm1Ysh>	congenic
MGI:3796233	B6.129-Gpx4<tm1Ssd>	congenic
MGI:3639695	B6.129-Grap<tm1Gsf>	congenic
MGI:3822369	B6.129-Gria1<tm1Rlh>/J	congenic
MGI:3588843	B6.129-Gria1<tm1Rsp>	congenic
MGI:4437557	B6.129-Gria1<tm2Rlh>/J	congenic
MGI:4437555	B6.129-Gria1<tm5Rlh>/J	congenic
MGI:4437556	B6.129-Gria1<tm6Rlh>/J	congenic
MGI:4437558	B6.129-Gria2<tm1Rlh>/J	congenic
MGI:2163901	B6.129-Gria2<tm1Rod>/J	congenic
MGI:5749213	B6.129-Gria2<tm2Rsp>/Kctt	congenic
MGI:5708059	B6.129-Gria2<tm3Rsp>/Kctt	congenic
MGI:3625735	B6.129-Gria3<tm1.1Rsp>	congenic
MGI:4437559	B6.129-Gria3<tm1Rlh>/J	congenic
MGI:4437560	B6.129-Gria3<tm2Rlh>/J	congenic
MGI:4437561	B6.129-Gria4<tm1Rlh>/J	congenic
MGI:5319684	B6.129-Gria4<tm2.1Rlh>	congenic
MGI:5749204	B6.129-Grin1<tm1Phs>/Kctt	congenic
MGI:5708069	B6.129-Grin1<tm1Rsp>/Kctt	congenic
MGI:5749205	B6.129-Grin1<tm2Phs>/Kctt	congenic
MGI:5749212	B6.129-Grin2b<tm1Rsp>/Kctt	congenic
MGI:5749211	B6.129-Grin2c<tm1Rsp> Grin2a<tm1Rsp>/Kctt	congenic
MGI:3763187	B6.129-Grin3b<tm1Yaha>	congenic
MGI:3604887	B6.129-Grip1<tm1Rha>	congenic
MGI:4462019	B6.129-Grip1<tm1Rha>/J	congenic
MGI:4462024	B6.129-Grip2<tm1Rha>/J	congenic
MGI:4420765	B6.129-Grk2<tm1Mca>/J	congenic
MGI:4420766	B6.129-Grk3<tm1Rjl>/J	congenic
MGI:3762777	B6.129-Grm1<tm1Nak>/NakRbrc	congenic
MGI:2164716	B6.129-Grm4<tm1Hpn>/J	congenic
MGI:5701372	B6.129-Grm5<tm1.1Jixu>/J	congenic
MGI:2164560	B6.129-Grm5<tm1Rod>/J	congenic
MGI:6145091	B6.129-Grn<tm1Mni>	congenic
MGI:2652348	B6.129-Gsc<tm1Pgr>/Cnrm	congenic
MGI:4454644	B6.129-Gtf2ird1<tm1Hrd>	congenic
MGI:3699120	B6.129-Gtf2ird1<tm2Hrd>	congenic
MGI:4834780	B6;129-Gt(ROSA)26Sor<tm1.1(CAG-cre)Jphe>/Orl	Not Specified
MGI:5905026	B6;129-Gt(ROSA)26Sor<tm11(CAG-tdTomato*,-GFP*)Nat>/J	Not Applicable
MGI:5543242	B6;129-Gt(ROSA)26Sor<tm1(Actb-T,-GFP)Dalco>/J	Not Applicable
MGI:5496917	B6;129-Gt(ROSA)26Sor<tm1Afst>/Ieg	Not Applicable
MGI:5584005	B6;129-Gt(ROSA)26Sor<tm1(CAG-cas9*,-EGFP)Fezh>	Not Applicable
MGI:5583851	B6;129-Gt(ROSA)26Sor<tm1(CAG-cas9*,-EGFP)Fezh>/J	Not Applicable
MGI:3689504	B6.129-Gt(ROSA)26Sor<tm1(CAG-EGFP)Luo>/J	congenic
MGI:5702436	B6;129-Gt(ROSA)26Sor<tm1(CAG-Mir182)Dgk>/J	Not Applicable
MGI:3790674	B6.129-Gt(ROSA)26Sor<tm1(cre/ERT2)Tyj>/J	congenic
MGI:6144451	B6;129-Gt(ROSA)26Sor<tm1(cre/Esr1)Tyj>/Nci	Not Applicable
MGI:3717612	B6.129-Gt(ROSA)26Sor<tm1(HD*103Q)Xwy>/J	congenic
MGI:3831303	B6.129-Gt(ROSA)26Sor<tm1Joe>/J	congenic
MGI:6123015	B6.129-Gt(ROSA)26Sor<tm1(LDLR/avidin)Svo>/Oulu	congenic
MGI:5528702	B6.129-Gt(ROSA)26Sor<tm1(LRRK2*R1441C)Djmo>	congenic
MGI:5805840	B6;129-Gt(ROSA)26Sor<tm1(Ptbp1)Szhg>/J	Not Applicable
MGI:5558019	B6;129-Gt(ROSA)26Sor<tm1(rtTA*M2)Jae> Col1a1<tm1(tetO-cre)Haho>/J	Not Applicable
MGI:5320446	B6.129-Gt(ROSA)26Sor<tm1Sor> Lgr5<tm1(cre/ERT2)Cle>	congenic
MGI:5295617	B6.129-Gt(ROSA)26Sor<tm1Sor> Lyz2<tm1(cre)Ifo>	congenic
MGI:5615640	B6.129-Gt(ROSA)26Sor<tm1(TMPRSS2/ERG)Key>/J	congenic
MGI:5485407	B6;129-Gt(ROSA)26Sor<tm1Ytchn>/J	Not Applicable
MGI:6144440	B6.129-Gt(ROSA)26Sor<tm2(ACTB-Luc)Tyj>/Nci	congenic
MGI:3689507	B6.129-Gt(ROSA)26Sor<tm2(CAG-Dsred2/EGFP)Luo>/J	congenic
MGI:4421756	B6;129-Gt(ROSA)26Sor<tm2(cre/ERT2)Brn>	Not Specified
MGI:3689508	B6.129-Gt(ROSA)26Sor<tm3(CAG-EGFP/Dsred2)Luo>/J	congenic
MGI:5571611	B6;129-Gt(ROSA)26Sor<tm4(CAG-EGFP*)Nat>/J	Not Applicable
MGI:5538666	B6;129-Gt(ROSA)26Sor<tm5(CAG-Sun1/sfGFP)Nat>/J	Not Applicable
MGI:5614796	B6.129-Gt(ROSA)26Sor<tm5(CAG-Sun1/sfGFP)Nat>/J	congenic
MGI:5909107	B6.129-Gt(ROSA)26Sor<tm5(CAG-Sun1/sfGFP)Nat>/MmbeJ	congenic
MGI:5510973	B6;129-Gt(ROSA)26Sor<tm6(Fzd6)Nat>/J	Not Applicable
MGI:5578181	B6;129-Gt(ROSA)26Sor<tm7(CAG-tdTomato*)Nat>/J	Not Applicable
MGI:5578184	B6;129-Gt(ROSA)26Sor<tm8(cre/Esr1*)Nat>/J	Not Applicable
MGI:5578177	B6;129-Gt(ROSA)26Sor<tm9(CAG-GFP*)Nat>/J	Not Applicable
MGI:3702009	B6.129-H2-M3<tm1Crw>	congenic
MGI:4819276	B6.129-Hapln1<tm1Nid>/Mmucd	congenic
MGI:4835981	B6.129-Has1<tm1Nita>	congenic
MGI:4835983	B6.129-Has2<tm1.1Nita>	congenic
MGI:6148690	B6.129-Has2<tm1.1Nita> Has1<tm1Nita>/Rbrc	congenic
MGI:4835982	B6.129-Has2<tm1Nita>	congenic
MGI:5438956	B6.129-Havcr1<tm1Vlcg>	congenic
MGI:5703652	B6.129-Havcr2<tm1Vlcg>	congenic
MGI:4878866	B6;129-Hbb<tm2(HBG1,HBB*)Tow>/Hbb<tm3(HBG1,HBB)Tow> Hba<tm1(HBA)Tow>/J	Not Applicable
MGI:4442224	B6.129-Hbegf<tm1Dcl>/Mmnc	congenic
MGI:5644683	B6.129-Hcrtr1<tm1Mmsc>/J	congenic
MGI:5645662	B6.129-Hcrtr2<tm1Tesc>	congenic
MGI:5644684	B6.129-Hcrtr2<tm1Tesc>/J	congenic
MGI:3620757	B6.129-Hdc<tm1Nagy>	congenic
MGI:3838722	B6.129-Heg1<tm1Mlkn>	congenic
MGI:3716162	B6.129-Hey1<tm2Gess>	congenic
MGI:3574635	B6;129-Hgf<tm1Jmw>/Mmnc	Not Applicable
MGI:4836741	B6.129-Hif1an<tm1.2Rsjo>	congenic
MGI:5543940	B6.129-Hif1a<tm1Kats>/J	congenic
MGI:3711123	B6.129-Hif1a<tm3Rsjo>/J	congenic
MGI:5560508	B6;129-Hint1<tm1Ibw>/Ieg	Not Applicable
MGI:4820530	B6.129-Hipk2<tm1Ejh>/Mmucd	congenic
MGI:3717015	B6.129-Homer2<tm1Mhd>	congenic
MGI:3717016	B6.129-Homer3<tm1Mhd>	congenic
MGI:4366788	B6.129-Hoxa11<tm1Dmwe>/J	congenic
MGI:3850837	B6.129-Hoxb4<tm1.1Karl>/Kctt	congenic
MGI:3850834	B6.129-Hoxb4<tm1Karl>/Kctt	congenic
MGI:5320449	B6.129-Hoxb4<tm2.1Karl> Hoxb3<tm1.1Karl>/Kctt	congenic
MGI:5572765	B6;129-Hoxb6<tm1Cka>/Mmucd	Not Applicable
MGI:3624353	B6.129-Hpgds<tm1Urad>	congenic
MGI:6161222	B6.129-Hprt<tm1(tetO-EGFP/MIR125B1)Jlu>/J	congenic
MGI:3844528	B6.129-Hpse<tm1Jpli>	congenic
MGI:5816606	B6.129-Hpx<tm1Altr>/J	congenic
MGI:5502785	B6.129-Hsd11b1<tm1Lex> Apoe<tm1Unc>	congenic
MGI:3662930	B6.129-Hsh2d<tm1Viss>	congenic
MGI:5828592	B6.129-Hspa13<tm1Yah> Runx1<tm1Yg>/Orl	congenic
MGI:6146328	B6.129-Hspa5<tm1Aoe>/AoeRbrc	congenic
MGI:3841838	B6.129-Htr2c<tm1Jke>	congenic
MGI:4888971	B6.129-Htr2c<tm1Jke>/J	congenic
MGI:2163273	B6.129-Htr2c<tm1Jul>/J	congenic
MGI:4430875	B6.129-Htr2c<tm1Knk>/Mmmh	congenic
MGI:4430879	B6.129-Htr2c<tm2Knk>/Mmmh	congenic
MGI:3604607	B6.129-Htr5a<tm1Dgen>/J	congenic
MGI:5440711	B6.129-Htr7<tm1Sut>/J	congenic
MGI:2164485	B6.129-Htt<tm3Mem>/J	congenic
MGI:2164686	B6.129-Htt<tm4Mem>/J	congenic
MGI:2164688	B6.129-Htt<tm5Mem>/J	congenic
MGI:3806564	B6.129-Id2<tm1Ago>	congenic
MGI:3603213	B6.129-Ido1<tm1Alm>/J	congenic
MGI:4415247	B6.129-Idua<tm1.1Kmke>	congenic
MGI:2174104	B6.129-Idua<tm1Clk>/J	congenic
MGI:4357979	B6.129-Ifnb1<tm1Lky>/J	congenic
MGI:3716325	B6.129-Igf1r<tm1.2Mhz>/Orl	congenic
MGI:6112034	B6(129)-Igk<FluBI> Igh<FluBI>/Hpl	Not Applicable
MGI:5501341	B6.129-Igkrs<tm1Nemz>/J	congenic
MGI:5510975	B6;129-Igs1<tm10(CAG-Bgeo,-Fzd6)Nat>/J	Not Applicable
MGI:5616522	B6;129-Igs1<tm11(CAG-Bgeo,-Edn2)Nat>/J	Not Applicable
MGI:5658217	B6;129-Igs1<tm4(CAG-Bgeo,-Vangl2)Nat>/J	Not Applicable
MGI:5510966	B6;129-Igs1<tm9(CAG-Bgeo,-Fzd3)Nat>/J	Not Applicable
MGI:5640675	B6;129-Igs2<tm1(CAG-cas9*)Mmw>/J	Not Applicable
MGI:5795736	B6.129-Igs2<tm1(CAG-cas9*)Mmw>/J	congenic
MGI:5494731	B6;129-Iis1<tm5(CAG-Bgeo,-Mito-GFP)Nat>/J	Not Applicable
